"name","area"
"Лесная поляна с/о","((57.0731042147057,65.549416154359),(57.0745884264208,65.5493517813426),(57.0745884264208,65.5516048369151),(57.0725432372756,65.5515404638987),(57.0731042147057,65.549416154359))"
"Марай ","((56.8549652558969,66.014590740761),(56.8566110370811,66.0143332486955),(56.860184483092,66.0265212064592),(56.8588679902234,66.0328726774065),(56.8566110370811,66.0313277250139),(56.8532723765529,66.0339884763566),(56.8532253510366,66.0188822751848),(56.8530842741093,66.0194830900041),(56.8549652558969,66.014590740761))"
"Ольховое с/о","((56.9367892844497,65.8276850838403),(56.9354285777792,65.829616274331),(56.9356162644209,65.8304316658715),(56.9358039501145,65.8316762108544),(56.9373992402273,65.8348948616723),(56.9388302510096,65.8318478722314),(56.9367892844497,65.8276850838403))"
"3-й заречный мкр","((57.1833301004685,65.5636777636916),(57.1822289639668,65.5627228972824),(57.1820133937241,65.5639567134292),(57.1742520234201,65.5578198192031),(57.1722006972228,65.5579056498916),(57.173063200564,65.561210131398),(57.1733662374923,65.5645146129043),(57.1734594791121,65.5683340785415),(57.1732729956285,65.5709519145401),(57.1811511000497,65.5731191394241),(57.1833301004685,65.5636777636916))"
"4 мкр ","((57.1177726455402,65.5778258915345),(57.1235735771592,65.5855291958253),(57.1277632199388,65.5743497486512),(57.121904589706,65.5670112247864),(57.1177726455402,65.5778258915345))"
"5 мкр","((57.1175858800704,65.577911722223),(57.1218579036641,65.566925394098),(57.1174224595165,65.5611747379701),(57.1141538962749,65.5734485264222),(57.1175858800704,65.577911722223))"
"Поляна с/о","((57.2935465550559,65.268084213407),(57.2933606802276,65.2715603562903),(57.2924777619191,65.2725474092078),(57.2901309545939,65.2716032716345),(57.2903168458024,65.2669254991126),(57.2935465550559,65.268084213407))"
"Архитектор с/о","((57.0152579677667,65.7652268404854),(57.0158432245328,65.7647976870431),(57.0155623024363,65.763896464814),(57.0176808706679,65.7606778139961),(57.0192843472565,65.7581887240304),(57.0200568002537,65.7579956049813),(57.0205717599629,65.7588646407021),(57.0211803394782,65.7597336764229),(57.0209813818855,65.7612035269631),(57.020852644056,65.7621583933724),(57.0204781314439,65.7644972796333),(57.0178564371826,65.7698187823189),(57.01621778402,65.766943454255),(57.0152579677667,65.7652268404854))"
"Приволье с/о","((57.2049870667252,65.5116849522421),(57.2048939049696,65.5110090355704),(57.2034848044481,65.5070232729742),(57.2027977027811,65.5078413467238),(57.2018427266318,65.5050639192888),(57.2015515704469,65.5046682934592),(57.2008282434554,65.5060361690193),(57.2032635358478,65.5138307194541),(57.2049870667252,65.5116849522421))"
"1-й Заречный мкр","((57.1749522939318,65.5538916631712),(57.1768053471396,65.5533337636961),(57.1779124727909,65.5526900335325),(57.1796138852,65.549900536157),(57.1768636177504,65.5443429990781),(57.1739732847701,65.5389571233762),(57.1732273555399,65.5403304143918),(57.1729418004967,65.5411458059323),(57.1719569100265,65.5464243932737),(57.1720151883157,65.5477118536009),(57.1712692194188,65.5507588430418),(57.1704299863521,65.5550074621214),(57.1749522939318,65.5538916631712))"
